year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
9,0,1,1,0,,0.446,0.891,0.405,0.549,0.554,0.607,0.353,0.38,0.478,0.677,0.365,0.587,0.653,0.281,0.477,NYL,3.0,3.0,0.41509665337253265,0.7452377547455948,1.9910116527226318,0.46182128599205297,0.5260589789842033,2.482153986858166
10,0,0,,,,0.274,0.869,0.181,0.464,0.478,0.59,0.379,0.535,0.371,0.799,0.318,0.48,0.61,0.393,0.541,NYL,,,0.40991187496103987,0.7965702016963748,1.731105218421892,0.43992289497627735,0.4684298802691408,2.4932550231297914
1,0,1,0,,,0.186,0.376,0.367,0.283,0.366,0.341,0.438,0.302,0.455,0.27,0.5,0.447,0.425,0.274,0.298,CON,1.0,2.0,0.4249443160721557,,2.2164006709030035,0.5601324110805798,0.6084182715836242,
2,0,0,,,,0.286,0.507,0.543,0.212,0.715,0.541,0.405,0.275,0.275,0.243,0.493,0.673,0.602,0.319,0.304,CON,,,0.39591388766665975,0.7274723951393157,1.796215190112734,0.46014690624534016,0.514562719278234,1.118996477864529
3,0,0,,,,0.429,0.376,0.371,0.191,0.581,0.21,0.327,0.239,0.534,0.31,0.443,0.36,0.583,0.274,0.279,CON,,,0.4216281052068421,,1.7639013160897918,0.4020804800845414,0.5203523682805342,1.6521018295773342
1,1,1,0,,,0.465,0.281,0.157,0.256,0.527,0.092,0.183,0.226,0.376,0.18,0.331,0.18,0.544,0.148,0.513,PHO,0.0,2.0,0.42186049424899674,0.78099829912119,1.8253319861936983,0.37117599335018775,0.5072842253678189,2.61526547676293
2,1,0,,,,0.286,0.176,0.276,0.423,0.565,0.485,0.49,0.17,0.371,0.347,0.459,0.573,0.49,0.415,0.394,PHO,,,0.3436932632548189,,1.6860798654672162,0.3713607267679762,0.4121166484573805,
3,1,0,,,,0.167,0.172,0.238,0.126,0.43,0.406,0.203,0.163,0.236,0.331,0.486,0.473,0.39,0.415,0.408,PHO,,,0.41048685727767864,0.7495787104392642,1.2950851550828575,0.32994211054921396,0.42160136403043125,1.662434212316367
4,1,0,,,,0.211,0.244,0.548,0.242,0.661,0.31,0.314,0.125,0.202,0.646,0.409,0.52,0.849,0.556,0.431,PHO,,,0.35699938136288306,,1.252715612388751,0.31916631479332797,0.4019392534040731,
5,1,0,,,,0.312,0.588,0.105,0.379,0.511,0.245,0.484,0.074,0.236,0.381,0.23,0.193,0.564,0.489,0.39,PHO,,,0.42165073783534257,,1.7436697438681457,0.43066637077449377,0.4742021186432531,1.5932956052540121
6,1,0,,,,0.542,0.525,0.476,0.543,0.301,0.476,0.758,0.038,0.292,0.365,0.277,0.453,0.359,0.304,0.33,PHO,,,0.4098661961771211,0.7412091620296364,1.8982355020359785,0.7187839470632627,0.4926893272751329,1.709149598821247
7,1,0,,,,0.521,0.919,0.438,0.853,0.473,0.148,0.418,0.678,0.792,0.815,0.642,0.227,0.568,0.407,0.343,PHO,,,0.42389020611139483,,2.246324079012035,0.42928064451656434,0.4900593890878876,2.4189132443358
8,1,1,1,1,1,0.69,1.0,0.176,1.0,0.527,0.341,0.627,1.0,1.0,1.0,0.811,0.313,0.792,0.281,0.367,PHO,7.0,2.0,,0.8097749732694524,3.4060000206279426,0.7763431530755319,0.6787364655029102,
9,1,0,,,,0.736,0.76,0.633,0.58,0.242,0.354,0.608,0.85,0.972,0.77,0.885,0.247,0.425,0.43,0.433,PHO,,,0.42776380880132897,,1.9117130268370963,0.5308724767772955,0.4647330466794887,1.7548705312816433
10,1,1,1,1,1,0.685,0.882,0.2,0.802,0.204,0.402,0.771,0.655,0.865,0.786,0.74,0.42,0.27,0.533,0.433,PHO,7.0,4.0,0.4663310860396805,0.8557251822108954,3.171405671644165,0.7818385412967568,0.6720774023381172,1.67032650583476
1,1,0,,,,0.552,0.376,0.319,0.307,0.419,0.808,0.196,0.295,0.225,0.209,0.334,0.533,0.544,0.437,0.374,POR,,,0.4018191094846282,,1.6322556100861014,0.31587970914263375,0.4767981019517371,1.6337774357219417
